Unnamed: 0,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,UK_pct,UK_CDF,AUS_pct,AUS_CDF
4762,1.2985,0.8135,1.3704,0.7104,3.3474,1.2801,6.3045,7.849,65.08,1059.5,18.231,11.905,1.3126,6.0606,106.56,3.868,7.8259,8.4029,155.85,0.9595,29.23,31.23,-0.05627462014631268,22.82579711106352,-0.35300437418462893,-0.02129586843309106
4763,1.3007,0.8177,1.3751,0.7147,3.3212,1.2777,6.3045,7.8489,64.92,1061.56,18.127,11.9675,1.3168,6.0889,107.48,3.865,7.8396,8.4306,155.4,0.9633,29.24,31.26,0.6052927927927776,23.431089903856297,0.16942626107046,0.14813039263736894
4764,1.3014,0.8147,1.3749,0.7098,3.3702,1.2763,6.3045,7.8482,64.95,1068.73,18.329,12.05,1.3171,6.0669,107.03,3.868,7.8281,8.3906,155.4,0.9602,29.29,31.28,-0.6856023506366382,22.745487553219657,0.05381717536709907,0.201947568004468
4765,1.2974,0.8117,1.3661,0.7074,3.395,1.27,6.3035,7.8488,64.95,1067.11,18.2245,12.0775,1.3112,6.0443,107.06,3.869,7.7777,8.3617,155.45,0.9574,29.24,31.26,-0.33812341504648735,22.407364138173172,-0.307361303211906,-0.10541373520743802
4766,1.2883,0.8105,1.358,0.7062,3.4146,1.2609,6.2798,7.8494,64.95,1064.53,18.2715,12.05,1.3095,6.0356,107.3,3.867,7.8101,8.3157,155.45,0.9574,29.2,31.18,-0.16963528413910245,22.23772885403407,-0.7014028056112287,-0.8068165408186667
4767,1.2878,0.8075,1.357,0.7045,3.3955,1.2581,6.2655,7.8498,65.26,1066.76,18.221,11.985,1.3082,6.0121,106.78,3.873,7.759,8.3274,155.6,0.9578,29.2,31.11,-0.24072500708015587,21.997003846953916,-0.03881083598540336,-0.8456273768040701
4768,1.2892,0.8117,1.3559,0.702,3.3902,1.2583,6.2876,7.8499,65.28,1069.84,18.151,12.015,1.3126,6.0442,107.3,3.875,7.7812,8.4237,155.6,0.9625,29.31,31.19,-0.35486160397445454,21.64214224297946,0.10871253300199779,-0.7369148438020723
4769,1.2873,0.8116,1.3604,0.7015,3.4088,1.2604,6.2725,7.8499,65.27,1070.55,18.0795,12.085,1.312,6.0437,107.52,3.8785,7.7621,8.446,155.6,0.9631,29.32,31.16,-0.07122507122506727,21.57091717175439,-0.14737821905055348,-0.8842930628526258
4770,1.2858,0.8082,1.3585,0.6977,3.4282,1.258,6.2752,7.8496,65.46,1071.59,18.025,12.0575,1.3116,6.0193,107.26,3.8865,7.784,8.4279,155.8,0.9596,29.35,31.19,-0.541696364932287,21.029220806822103,-0.11652295502214693,-1.0008160178747727
4771,1.2873,0.81,1.3626,0.6993,3.4022,1.2548,6.2804,7.8496,65.66,1066.56,17.9705,11.9775,1.3108,6.0322,107.09,3.8885,7.7765,8.4183,156.3,0.9666,29.36,31.19,0.22932492475276067,21.258545731574863,0.11665888940737279,-0.8841571284673999
4772,1.2847,0.8078,1.3646,0.7029,3.3844,1.2636,6.2722,7.8499,65.62,1064.51,18.0355,11.935,1.31,6.0158,107.26,3.888,7.7536,8.3922,156.3,0.967,29.31,31.19,0.5148005148005064,21.773346246375368,-0.20197312203839024,-1.0861302505057902
4773,1.2902,0.8106,1.3736,0.7046,3.4028,1.2638,6.2765,7.8486,65.79,1065.68,18.3355,11.98,1.3103,6.0365,107.42,3.889,7.7874,8.407,156.05,0.9714,29.39,31.23,0.2418551714326478,22.015201417808015,0.4281155133494252,-0.6580147371563649
4774,1.3036,0.8142,1.3868,0.7126,3.4121,1.274,6.2945,7.8448,66.15,1071.0,18.6145,12.0875,1.3155,6.0637,107.6,3.895,7.8223,8.4453,156.3,0.9744,29.48,31.32,1.1353959693443105,23.150597387152324,1.0385986668733693,0.3805839297170044
4775,1.3134,0.8186,1.3976,0.7167,3.4463,1.2845,6.3158,7.8432,66.42,1077.72,18.895,12.315,1.3245,6.0967,108.62,3.8965,7.8777,8.501,156.75,0.9776,29.58,31.54,0.575357844513058,23.72595523166538,0.7517643448910594,1.1323482746080638
4776,1.3161,0.8179,1.4061,0.7156,3.4685,1.2823,6.3035,7.8468,66.36,1074.8,18.795,12.3325,1.3229,6.091,109.03,3.903,7.8998,8.5138,156.85,0.9804,29.57,31.45,-0.1534812334309965,23.572473998234386,0.20557332115123117,1.337921595759295
4777,1.3229,0.8212,1.4158,0.7173,3.509,1.2871,6.3236,7.8468,66.92,1082.99,19.02,12.4625,1.329,6.1174,109.33,3.91,7.9701,8.5597,157.6,0.9828,29.72,31.57,0.23756288429290784,23.810036882527292,0.5166780639769053,1.8545996597362002
4778,1.3228,0.8256,1.4152,0.718,3.4992,1.2867,6.334,7.8461,66.8,1078.2,18.8695,12.44,1.3272,6.149,109.3,3.915,7.9941,8.6604,157.5,0.988,29.68,31.62,0.09758817788929619,23.90762506041659,-0.007559150351499344,1.8470405093847009
4779,1.3217,0.8259,1.4144,0.7254,3.4685,1.2862,6.3325,7.8483,66.68,1067.59,18.6675,12.3675,1.3244,6.1527,109.12,3.917,7.9714,8.6769,157.6,0.9884,29.54,31.52,1.0306406685236968,24.938265728940287,-0.08315693982460237,1.7638835695600985
4780,1.3257,0.8282,1.4198,0.7272,3.4854,1.2818,6.3325,7.8479,66.5,1069.07,18.7715,12.4775,1.3249,6.1711,109.28,3.92,8.0232,8.763,157.6,0.9911,29.6,31.57,0.2481389578163684,25.186404686756656,0.3026405387001496,2.066524108260248
4781,1.3355,0.8333,1.4271,0.7347,3.507,1.2873,6.3325,7.8488,66.52,1071.91,18.8325,12.62,1.3327,6.2082,109.69,3.92,8.0834,8.8386,157.55,0.9954,29.68,31.67,1.0313531353135508,26.217757822070208,0.7392321037942073,2.8057562120544555
4782,1.3332,0.8356,1.4278,0.7348,3.5404,1.2848,6.361,7.8495,66.71,1076.52,19.073,12.6625,1.3353,6.224,109.89,3.933,8.115,8.8974,157.45,0.9975,29.76,31.74,0.013610997686130943,26.23136881975634,-0.17222014226880855,2.633536069785647
4783,1.331,0.8354,1.4229,0.737,3.5496,1.2878,6.352,7.8495,66.68,1078.33,19.1125,12.675,1.3329,6.2233,109.06,3.931,8.0621,8.8417,157.65,0.9978,29.71,31.67,0.29940119760478723,26.530770017361128,-0.16501650165016146,2.4685195681354855
4784,1.3273,0.8371,1.4251,0.7388,3.5213,1.2848,6.3589,7.8493,66.83,1074.09,19.1965,12.52,1.3335,6.2361,109.16,3.939,8.0575,8.8033,157.43,1.0005,29.7,31.72,0.24423337856174232,26.77500339592287,-0.2779864763335915,2.190533091801894
4785,1.3287,0.8384,1.4231,0.7371,3.5543,1.285,6.364,7.8496,67.13,1079.72,19.448,12.5325,1.3351,6.2464,109.14,3.943,8.0474,8.8184,157.43,1.0023,29.82,31.84,-0.23010286951814507,26.544900526404724,0.10547728471332896,2.296010376515223
