Time Serie,Unnamed: 0,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,UK_pct,UK_CDF,AUS_pct,AUS_CDF
2000-01-31,10.0,1.524645,0.987345,1.95105,0.6096199999999999,1.8057349999999999,1.4486,8.279215,7.779059999999999,43.5895,1130.99,9.493525,6.13086,1.675665,7.349175,105.296,3.8,8.024125,8.49175,73.14,1.59026,30.889499999999998,37.38,0.030033170821737527,-0.8486540619353833,0.17745903492378462,0.5305414899587187
2000-02-29,30.8,1.593205,1.0170249999999998,2.039655,0.62502,1.7765,1.45121,8.27812,7.78164,43.653999999999996,1129.7455,9.426525,6.3209,1.7027899999999998,7.572464999999999,109.3885,3.8,8.237425,8.64795,73.55199999999999,1.63477,30.80575,37.758500000000005,0.1271765228484517,1.7146806112073576,0.18306506006726786,5.0496037797739675
2000-03-31,53.0,1.641086956521739,1.037013043478261,2.0404304347826083,0.6329478260869565,1.7423782608695653,1.4607739130434783,8.278560869565217,7.7847608695652175,43.638260869565215,1116.3904347826087,9.288586956521739,6.4675,1.7153434782608696,7.722830434782609,106.30739130434783,3.8,8.409995652173913,8.697108695652174,73.80956521739131,1.6636173913043477,30.71978260869565,37.92260869565217,-0.038022341730704,3.0019004967646397,0.06819078959556608,8.063991034674329
2000-04-30,74.5,1.6779350000000002,1.05863,2.0164,0.63199,1.769625,1.4688750000000002,8.279285,7.787989999999999,43.6847,1110.3200000000002,9.393685,6.648000000000001,1.70959,7.887180000000001,105.627,3.8,8.62719,8.748615,74.1225,1.66565,30.520249999999997,37.99275,0.11558683573281547,2.860438197538297,0.19037491920163352,10.31099065248747
2000-05-31,95.5909090909091,1.729309090909091,1.1040227272727272,2.125468181818182,0.6629272727272727,1.8277500000000002,1.4957363636363636,8.2781,7.790722727272728,44.075909090909086,1119.4863636363636,9.505872727272727,7.023818181818182,1.7285727272727271,8.232899999999999,108.32045454545455,3.8,9.053295454545454,9.09249090909091,74.86681818181818,1.7190090909090907,30.771818181818183,38.95136363636363,0.17858273915107203,7.660906649970382,0.10407023784735801,13.366513104758969
2000-06-30,118.5,1.681240909090909,1.0522136363636365,2.1257,0.6626,1.8098636363636365,1.4770454545454543,8.277209090909091,7.793413636363636,44.76045454545454,1117.935,9.83434090909091,6.914659090909091,1.7277136363636365,7.850113636363636,106.12545454545456,3.800022727272727,8.680686363636363,8.747136363636365,76.73590909090909,1.6420454545454546,30.830454545454543,39.08681818181818,-0.04758459568981213,7.672742727172073,-0.20230836469363644,10.599186816706373
2000-07-31,140.45,1.7036850000000001,1.0655100000000002,2.175475,0.66333,1.7981500000000001,1.4777850000000001,8.27936,7.7968649999999995,44.840500000000006,1115.075,9.419225,6.8971,1.7413750000000001,7.947135,108.2115,3.8,8.71846,8.96398,78.8515,1.651905,30.983749999999997,40.31765,0.04962379902966163,7.804294609246151,0.15906799789663084,11.97884897040241
2000-08-31,162.0,1.721891304347826,1.1056782608695652,2.2475521739130433,0.671708695652174,1.809113043478261,1.482813043478261,8.279569565217392,7.799482608695652,45.76869565217392,1114.4669565217391,9.272434782608695,6.95695652173913,1.720591304347826,8.245878260869565,108.08043478260869,3.8,8.95263043478261,9.277086956521739,78.28260869565217,1.7148652173913042,31.106086956521743,40.88913043478261,0.13849870569418998,9.070079741681155,0.019745787714297653,13.094288116356843
2000-09-30,184.45,1.81178,1.150405,2.398385,0.697785,1.839725,1.48643,8.278545,7.7985050000000005,45.968,1117.5700000000002,9.361475,7.1804749999999995,1.7405750000000002,8.584905000000001,106.8375,3.8,9.233055,9.685275,78.731,1.7586249999999999,31.197699999999998,41.992000000000004,-0.08939406890904,12.904893194226016,0.315110096381091,18.23419550761375
2000-10-31,205.76190476190476,1.8945142857142856,1.1733857142857143,2.4997285714285717,0.6893809523809524,1.8813333333333335,1.5124761904761905,8.278461904761905,7.797661904761905,46.4252380952381,1131.0990476190477,9.536952380952382,7.4901904761904765,1.752542857142857,8.727557142857144,108.44285714285715,3.8,9.37935238095238,9.993014285714285,79.29095238095238,1.7745476190476193,31.845714285714287,43.33380952380952,0.09349229739992299,11.758986280701299,0.2128582283604474,22.755440888569762
2000-11-30,227.23809523809524,1.9165285714285716,1.1694666666666667,2.5064571428571427,0.7014095238095238,1.9482714285714284,1.5426380952380954,8.27737142857143,7.799071428571428,46.82142857142857,1156.5428571428572,9.508142857142857,7.688890476190476,1.747809523809524,8.6992,109.0095238095238,3.8,9.352447619047618,10.096514285714285,80.38047619047619,1.7778761904761904,32.43333333333334,43.79142857142857,0.09895188782446054,13.523592882875432,-0.07180680486989262,23.965621745596696
2000-12-31,248.7,1.8299150000000002,1.1137549999999998,2.328405,0.683675,1.9632,1.521875,8.277145,7.79909,46.784499999999994,1216.935,9.46725,7.6438999999999995,1.73612,8.30591,112.20899999999999,3.8,9.061615,9.660375,82.03,1.68547,33.123000000000005,43.245999999999995,-0.2531480997789609,10.995286461927451,-0.27171226133130055,19.406076907821692
